timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611161701,0,0,47,0,1113,4294967295
1611161706,0,0,46,0,2588,4294967295
1611161711,0,0,46,0,2588,4294967295
1611161716,0,0,46,0,2588,4294967295
1611161721,0,0,46,0,2588,4294967295
1611161726,0,0,46,0,2588,4294967295
1611161731,0,0,46,0,2588,4294967295
1611161736,0,0,46,0,2588,4294967295
1611161741,0,0,45,0,2621,4294967295
1611161746,0,0,45,0,2621,4294967295
1611161751,0,0,45,0,2621,4294967295
1611161756,0,0,45,0,2621,4294967295
1611161761,0,0,45,0,2621,4294967295
1611161766,0,0,45,0,2621,4294967295
1611161771,0,0,45,0,2621,4294967295
1611161776,0,0,44,0,1011,4294967295
1611161781,0,0,44,0,1011,4294967295
1611161786,0,0,44,0,1011,4294967295
1611161791,0,0,44,0,1011,4294967295
1611161796,0,0,44,0,1011,4294967295
1611161801,0,0,44,0,1011,4294967295
1611161806,0,0,44,0,1011,4294967295
1611161811,0,0,44,0,1011,4294967295
1611161816,0,0,43,0,2184,4294967295
1611161821,0,0,43,0,2184,4294967295
1611161826,0,0,43,0,2184,4294967295
1611161831,0,0,43,0,2184,4294967295
1611161836,0,0,43,0,2184,4294967295
1611161841,0,0,43,0,2184,4294967295
1611161846,0,0,43,0,2184,4294967295
1611161851,0,0,42,0,1935,4294967295
1611161856,0,0,42,0,1935,4294967295
1611161861,0,0,42,0,1935,4294967295
1611161866,0,0,42,0,1935,4294967295
1611161871,0,0,42,0,1935,4294967295
1611161876,0,0,42,0,1935,4294967295
1611161881,0,0,42,0,1935,4294967295
1611161886,0,0,42,0,1935,4294967295
1611161891,0,0,41,0,946,4294967295
1611161896,0,0,41,0,946,4294967295
1611161901,0,0,41,0,946,4294967295
1611161906,0,0,41,0,946,4294967295
1611161911,0,0,41,0,946,4294967295
1611161916,0,0,41,0,946,4294967295
1611161921,0,0,41,0,946,4294967295
1611161926,0,0,40,0,2343,4294967295
1611161931,0,0,40,0,2343,4294967295
1611161936,0,0,40,0,2343,4294967295
1611161941,0,0,40,0,2343,4294967295
1611161946,0,0,40,0,2343,4294967295
1611161951,0,0,40,0,2343,4294967295
1611161956,0,0,40,0,2343,4294967295
1611161961,0,0,40,0,2343,4294967295
1611161966,0,0,39,0,907,4294967295
1611161971,0,0,39,0,907,4294967295
1611161976,0,0,39,0,907,4294967295
1611161981,0,0,39,0,907,4294967295
1611161986,0,0,39,0,907,4294967295
1611161991,0,0,39,0,907,4294967295
1611161996,0,0,38,0,1379,4294967295
1611162001,0,0,38,0,1379,4294967295
1611162006,0,0,38,0,1379,4294967295
1611162011,0,0,38,0,1379,4294967295
1611162016,0,0,38,0,1379,4294967295
1611162021,0,0,38,0,1379,4294967295
1611162026,0,0,38,0,1379,4294967295
1611162031,0,0,38,0,1379,4294967295
1611162036,0,0,38,0,1379,4294967295
1611162041,0,0,37,0,3328,4294967295
1611162047,0,0,37,0,3328,4294967295
1611162052,0,0,37,0,3328,4294967295
1611162057,0,0,37,0,3328,4294967295
1611162062,0,0,37,0,3328,4294967295
1611162067,0,0,37,0,3328,4294967295
1611162072,0,0,37,0,3328,4294967295
1611162077,0,0,37,0,3328,4294967295
1611162082,0,0,37,0,3328,4294967295
1611162087,0,0,37,0,3328,4294967295
1611162092,0,0,37,0,3328,4294967295
1611162097,0,0,37,0,3328,4294967295
1611162102,0,0,37,0,3328,4294967295
1611162107,0,0,37,0,3328,4294967295
1611162112,0,0,37,0,3328,4294967295
1611162117,0,0,37,0,3328,4294967295
1611162122,0,0,36,0,1675,4294967295
1611162127,0,0,36,0,1675,4294967295
1611162132,0,0,36,0,1675,4294967295
1611162137,0,0,36,0,1675,4294967295
1611162142,0,0,36,0,1675,4294967295
1611162147,0,0,36,0,1675,4294967295
1611162152,0,0,36,0,1675,4294967295
1611162157,0,0,36,0,1675,4294967295
1611162162,0,0,36,0,1675,4294967295
1611162167,0,0,36,0,1675,4294967295
1611162172,0,0,36,0,1675,4294967295
1611162177,0,0,36,0,1675,4294967295
1611162182,0,0,36,0,1675,4294967295
1611162187,0,0,36,0,1675,4294967295
1611162192,0,0,36,0,1675,4294967295
1611162197,0,0,36,0,1675,4294967295
1611162202,0,0,36,0,1675,4294967295
1611162207,0,0,35,0,3326,4294967295
1611162212,0,0,35,0,3326,4294967295
1611162217,0,0,35,0,3326,4294967295
1611162222,0,0,35,0,3326,4294967295
1611162227,0,0,35,0,3326,4294967295
1611162232,0,0,35,0,3326,4294967295
1611162237,0,0,35,0,3326,4294967295
1611162242,0,0,35,0,3326,4294967295
1611162247,0,0,35,0,3326,4294967295
1611162252,0,0,35,0,3326,4294967295
1611162257,0,0,35,0,3326,4294967295
1611162262,0,0,35,0,3326,4294967295
1611162267,0,0,35,0,3326,4294967295
1611162272,0,0,35,0,3326,4294967295
1611162277,0,0,35,0,3326,4294967295
1611162282,0,0,34,0,3081,4294967295
1611162287,0,0,34,0,3081,4294967295
1611162292,0,0,34,0,3081,4294967295
1611162297,0,0,34,0,3081,4294967295
1611162302,0,0,34,0,3081,4294967295
1611162307,0,0,34,0,3081,4294967295
1611162312,0,0,34,0,3081,4294967295
1611162317,0,0,34,0,3081,4294967295
1611162322,0,0,34,0,3081,4294967295
1611162327,0,0,34,0,3081,4294967295
1611162332,0,0,34,0,3081,4294967295
1611162337,0,0,34,0,3081,4294967295
1611162342,0,0,34,0,3081,4294967295
1611162347,0,0,34,0,3081,4294967295
1611162352,0,0,34,0,3081,4294967295
1611162357,0,0,34,0,3081,4294967295
1611162362,0,0,34,0,3081,4294967295
1611162367,0,0,34,0,3081,4294967295
1611162372,0,0,33,0,3090,4294967295
1611162377,0,0,33,0,3090,4294967295
1611162382,0,0,33,0,3090,4294967295
1611162387,0,0,33,0,3090,4294967295
1611162392,0,0,33,0,3090,4294967295
1611162397,0,0,33,0,3090,4294967295
1611162402,0,0,33,0,3090,4294967295
1611162407,0,0,33,0,3090,4294967295
1611162412,0,0,33,0,3090,4294967295
1611162417,0,0,33,0,3090,4294967295
1611162422,0,0,33,0,3090,4294967295
1611162427,0,0,33,0,3090,4294967295
1611162432,0,0,33,0,3090,4294967295
1611162437,0,0,33,0,3090,4294967295
1611162442,0,0,33,0,3090,4294967295
1611162447,0,0,33,0,3090,4294967295
1611162452,0,0,33,0,3090,4294967295
1611162457,0,0,33,0,3090,4294967295
1611162462,0,2,32,0,1033,4294967295
1611162467,0,2,32,0,1033,4294967295
1611162472,0,2,32,0,1033,4294967295
1611162477,0,2,32,0,1033,4294967295
1611162482,0,2,32,0,1033,4294967295
1611162487,0,2,32,0,1033,4294967295
1611162492,0,2,32,0,1033,4294967295
1611162497,0,2,32,0,1033,4294967295
1611162502,0,2,32,0,1033,4294967295
1611162507,0,2,32,0,1033,4294967295
1611162512,0,2,32,0,1033,4294967295
1611162517,0,2,31,0,1648,4294967295
1611162522,0,2,31,0,1648,4294967295
1611162527,0,2,31,0,1648,4294967295
1611162532,0,2,31,0,1648,4294967295
1611162537,0,2,31,0,1648,4294967295
1611162542,0,2,31,0,1648,4294967295
1611162547,0,2,31,0,1648,4294967295
1611162552,0,2,31,0,1648,4294967295
1611162557,0,2,31,0,1648,4294967295
1611162562,0,2,31,0,1648,4294967295
1611162567,0,2,31,0,1648,4294967295
1611162572,0,2,31,0,1648,4294967295
1611162577,0,2,31,0,1648,4294967295
1611162582,0,2,31,0,1648,4294967295
1611162587,0,2,30,0,1813,4294967295
1611162592,0,2,30,0,1813,4294967295
1611162597,0,2,30,0,1813,4294967295
1611162602,0,2,30,0,1813,4294967295
1611162607,0,2,30,0,1813,4294967295
1611162612,0,2,30,0,1813,4294967295
1611162617,0,2,30,0,1813,4294967295
1611162622,0,2,30,0,1813,4294967295
1611162627,0,2,30,0,1813,4294967295
1611162632,0,2,30,0,1813,4294967295
1611162637,0,2,30,0,1813,4294967295
1611162642,0,2,30,0,1813,4294967295
1611162647,0,2,30,0,1813,4294967295
1611162652,0,2,30,0,1813,4294967295
1611162657,0,2,30,0,1813,4294967295
1611162662,0,2,30,0,1813,4294967295
1611162667,0,2,30,0,1813,4294967295
1611162672,0,2,29,0,2612,4294967295
1611162677,0,2,29,0,2612,4294967295
1611162682,0,2,29,0,2612,4294967295
1611162687,0,2,29,0,2612,4294967295
1611162692,0,2,29,0,2612,4294967295
1611162697,0,2,29,0,2612,4294967295
1611162702,0,2,29,0,2612,4294967295
1611162707,0,2,29,0,2612,4294967295
1611162712,0,2,29,0,2612,4294967295
1611162718,0,2,29,0,2612,4294967295
1611162723,0,2,29,0,2612,4294967295
1611162728,0,2,29,0,2612,4294967295
1611162733,0,2,29,0,2612,4294967295
1611162738,0,2,29,0,2612,4294967295
1611162743,0,2,28,0,2594,4294967295
1611162748,0,2,28,0,2594,4294967295
1611162753,0,2,28,0,2594,4294967295
1611162758,0,2,28,0,2594,4294967295
1611162763,0,2,28,0,2594,4294967295
1611162768,0,2,28,0,2594,4294967295
1611162773,0,2,28,0,2594,4294967295
1611162778,0,2,28,0,2594,4294967295
1611162783,0,2,28,0,2594,4294967295
